University,Latitude,Longitude,Biome,Proximity to nearest edge,Proximity to safety,Proximity to human structures,Date,Time,Clouds,Precipitation,Wind,Squirrel species,Total vigilance,Total foraging,Total Alert Feeding,Total social,Total other,Total out of sight,Notes and comments,Number of conspecifics,Direct interaction with conspecifics,Conspecifics within 15m,Notes on conspecific behavior,Number of humans present other than yourself,Direct interaction with humans,Humans within 15m ,Notes on human behavior,Number of dogs present,Direct interaction with dogs,Dogs within 15m,Notes on dog behavior,Other animals present
Gonzaga University,47.400219,117.243137,Core college campus,> 10m,3 - 15m,"Natural area, off trail","Sunday, March 7, 2021",10:10:00 AM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),2.0,2.0,0.0,0,2.0,9,Human with leaf blower came and then squirrel ran away,0,No,No,,1.0,Yes,Yes,Squirrel ran away when human used leaf blower,0.0,,,,
Gonzaga University,47.66778,-117.40396000000001,Core college campus,0 - 3m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Monday, March 8, 2021",10:15:00 AM,Mostly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),10.0,5.0,1.0,0,0.0,0,,0,,,,3.0,Yes,Yes,"Other humans walking nearby, squirrel was often vigilant when humans were close ",0.0,,,,
Gonzaga University,47.66707,-117.40454,Core college campus,0 - 3m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Tuesday, March 9, 2021",10:17:00 AM,Mostly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),2.0,3.0,0.0,0,2.0,11,1 minute in the squirrel climbed on top of Hughes and was not seen for the remainder of the time,2,No,Yes,Other squirrels were nearby but no direct interaction occurred,4.0,Yes,Yes,Other humans were nearby and it caused the squirrel to scurry away shortly,0.0,No,No,,
Gonzaga University,47.6676,-117.40552,Core college campus,0 - 3m,0m,"Natural area, off trail, Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Wednesday, March 10, 2021",10:18:00 AM,Mostly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),5.0,3.0,2.0,0,6.0,0,,0,No,No,,0.0,No,No,,0.0,No,No,,
Gonzaga University,47.667321,-117.40426599999999,Core college campus,3 - 10m,3 - 15m,"Natural area, off trail, Within 15 meters of sidewalks, Within 15 meters of buildings","Thursday, March 11, 2021",10:18:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),3.0,0.0,0.0,3,9.0,1,"For the large other portion, the squirrel was sleeping on a branch",1,Yes,Yes,Chasing eachother up a tree.,7.0,No,Yes,Squirrel not scared of human behavior,0.0,No,No,No dog,
Gonzaga University,47.66865,-117.40016999999999,Core college campus,3 - 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Friday, March 12, 2021",10:20:00 AM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),7.0,0.0,0.0,0,3.0,6,Bathing and entered a nest,1,No,No,,3.0,No,No,Passing by and observing,0.0,,,,
Gonzaga University,47.66584,-117.40813999999999,Core college campus,0 - 3m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of dirt/gravel road, Within 15 meters of paved road, Within 15 meters of buildings","Saturday, March 13, 2021",10:21:00 AM,Mostly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,8.0,5.0,0,3.0,0,Stood in trash can for majority of time,0,No,No,,0.0,No,No,,0.0,No,No,,
Gonzaga University,47.66865,117.40016999999999,Core college campus,3 - 10m,0m,Within 15 meters of buildings,"Sunday, March 14, 2021",10:21:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),0.0,0.0,0.0,0,11.0,5,The squirrel climbed up a tree and then scurried up a different tree.,0,No,No,,2.0,No,Yes,They were walking to and from the Alliance House.,0.0,No,No,,
Gonzaga University,47.667609999999996,-117.40392,Core college campus,3 - 10m,3 - 15m,Within 15 meters of paved road,"Monday, March 15, 2021",10:25:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),6.0,4.0,2.0,0,4.0,0,,2,No,Yes,Minding their own business and running around,4.0,No,Yes,Fellow squirrel observers,0.0,,,,
Gonzaga University,47.6677816,-117.4021172,Core college campus,0 - 3m,0m,Within 15 meters of buildings,"Tuesday, March 16, 2021",10:27:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),16.0,0.0,0.0,0,0.0,0,,1,No,Yes,,0.0,,,,0.0,,,,
